0	0	3000
1	1	200
1	0	500
1	8	500
1	0	1500
1	8	100
1	0	2000
2	1	200
2	0	500
2	4	500
2	0	1500
2	4	100
2	0	2000
3	1	200
3	0	500
3	12	500
3	0	1500
3	4	100
3	0	2000
4	1	200
4	0	500
4	12	500
4	0	1500
4	8	100
4	0	2000
5	1	200
5	0	500
5	4	500
5	0	1500
5	4	100
5	0	2000
6	1	200
6	0	500
6	4	500
6	0	1500
6	0	100
6	0	2000
7	1	200
7	0	500
7	12	500
7	0	1500
7	4	100
7	0	2000
8	1	200
8	0	500
8	8	500
8	0	1500
8	8	100
8	0	2000
9	1	200
9	0	500
9	12	500
9	0	1500
9	4	100
9	0	2000
10	1	200
10	0	500
10	4	500
10	0	1500
10	4	100
10	0	2000
11	1	200
11	0	500
11	12	500
11	0	1500
11	0	100
11	0	2000
12	1	200
12	0	500
12	4	500
12	0	1500
12	0	100
12	0	2000
13	1	200
13	0	500
13	8	500
13	0	1500
13	8	100
13	0	2000
14	1	200
14	0	500
14	12	500
14	0	1500
14	8	100
14	0	2000
