0	0	3000
1	1	500
1	24	500
1	0	1000
1	8	100
1	0	3000
2	1	500
2	12	500
2	0	1000
2	4	100
2	0	3000
3	1	500
3	6	500
3	0	1000
3	4	100
3	0	3000
4	1	500
4	12	500
4	0	1000
4	8	100
4	0	3000
5	1	500
5	12	500
5	0	1000
5	4	100
5	0	3000
6	1	500
6	24	500
6	0	1000
6	8	100
6	0	3000
7	1	500
7	12	500
7	0	1000
7	8	100
7	0	3000
8	1	500
8	8	500
8	0	1000
8	0	100
8	0	3000
9	1	500
9	12	500
9	0	1000
9	4	100
9	0	3000
10	1	500
10	24	500
10	0	1000
10	8	100
10	0	3000
11	1	500
11	12	500
11	0	1000
11	8	100
11	0	3000
12	1	500
12	6	500
12	0	1000
12	4	100
12	0	3000
13	1	500
13	24	500
13	0	1000
13	8	100
13	0	3000
14	1	500
14	6	500
14	0	1000
14	4	100
14	0	3000
15	1	500
15	12	500
15	0	1000
15	4	100
15	0	3000
16	1	500
16	6	500
16	0	1000
16	4	100
16	0	3000
17	1	500
17	12	500
17	0	1000
17	8	100
17	0	3000
18	1	500
18	12	500
18	0	1000
18	4	100
18	0	3000
19	1	500
19	12	500
19	0	1000
19	8	100
19	0	3000
20	1	500
20	24	500
20	0	1000
20	8	100
20	0	3000
21	1	500
21	6	500
21	0	1000
21	4	100
21	0	3000
22	1	500
22	12	500
22	0	1000
22	4	100
22	0	3000
23	1	500
23	6	500
23	0	1000
23	4	100
23	0	3000
24	1	500
24	24	500
24	0	1000
24	8	100
24	0	3000
25	1	500
25	6	500
25	0	1000
25	4	100
25	0	3000
26	1	500
26	4	500
26	0	1000
26	0	100
26	0	3000
27	1	500
27	12	500
27	0	1000
27	4	100
27	0	3000
28	1	500
28	12	500
28	0	1000
28	8	100
28	0	3000
29	1	500
29	24	500
29	0	1000
29	8	100
29	0	3000
30	1	500
30	6	500
30	0	1000
30	4	100
30	0	3000
31	1	500
31	8	500
31	0	1000
31	0	100
31	0	3000
32	1	500
32	12	500
32	0	1000
32	8	100
32	0	3000
33	1	500
33	6	500
33	0	1000
33	4	100
33	0	3000
34	1	500
34	12	500
34	0	1000
34	4	100
34	0	3000
35	1	500
35	24	500
35	0	1000
35	8	100
35	0	3000
36	1	500
36	12	500
36	0	1000
36	8	100
36	0	3000
37	1	500
37	24	500
37	0	1000
37	8	100
37	0	3000
38	1	500
38	6	500
38	0	1000
38	4	100
38	0	3000
39	1	500
39	24	500
39	0	1000
39	8	100
39	0	3000
40	1	500
40	12	500
40	0	1000
40	8	100
40	0	3000
41	1	500
41	6	500
41	0	1000
41	4	100
41	0	3000
42	1	500
42	12	500
42	0	1000
42	0	100
42	0	3000
43	1	500
43	12	500
43	0	1000
43	4	100
43	0	3000
44	1	500
44	12	500
44	0	1000
44	8	100
44	0	3000
45	1	500
45	24	500
45	0	1000
45	8	100
45	0	3000
46	1	500
46	12	500
46	0	1000
46	4	100
46	0	3000
47	1	500
47	12	500
47	0	1000
47	8	100
47	0	3000
48	1	500
48	6	500
48	0	1000
48	4	100
48	0	3000
49	1	500
49	4	500
49	0	1000
49	0	100
49	0	3000
50	1	500
50	12	500
50	0	1000
50	4	100
50	0	3000
51	1	500
51	24	500
51	0	1000
51	8	100
51	0	3000
52	1	500
52	12	500
52	0	1000
52	8	100
52	0	3000
53	1	500
53	12	500
53	0	1000
53	4	100
53	0	3000
